key,de-DE,en-US
server.config.name.system.slack_notification,Slack-Benachrichtigungseinstellungen (bei Update-Problemen),Slack-Notification-Settings (in case of update problems)
server.config.parameter.system.slack_notification.slack_webhook_url.label,Slack Webhook URL,
server.config.parameter.system.slack_notification.slack_cooldown_minutes.label,Slack Cooldown (in Minuten),Slack Cooldown (in minutes)
server.config.parameter.system.slack_notification.slack_buffer_enabled.label,Nachrichten-Buffer aktivieren?,Use message-buffer?
server.config.parameter.system.slack_notification.slack_buffer_enabled.checkbox,Ja,Yes
